Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?org.apache.struts.taglib.html.TOKEN=7735a8962a4401f763deafce7c27b135&SERIES_KEY=124.MIR.M.U2.B.A2B.F.R.A.2250.EUR.N&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=QF
,MIR.M.U2.B.A2B.F.R.A.2250.EUR.N,Quarterly Frequency
,"Euro area (changing composition), Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Loans for consumption excluding revolving loans and overdrafts, convenience and extended credit card debt, Up to 1 year initial rate fixation, New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro",
Collection:,Average of observations through period (A),
Period\Unit:,[Percent per annum ],
2021Mar,4.88,4.92
2021Feb,5.05,
2021Jan,4.84,
2020Dec,4.93,5.03
2020Nov,5.01,
2020Oct,5.14,
2020Sep,5.08,5.05
2020Aug,5.33,
2020Jul,4.73,
2020Jun,4.41,4.04
2020May,4.12,
2020Apr,3.60,
2020Mar,5.47,5.50
2020Feb,5.48,
2020Jan,5.56,
2019Dec,5.36,5.53
2019Nov,5.36,
2019Oct,5.88,
2019Sep,5.65,5.85
2019Aug,6.15,
2019Jul,5.74,
2019Jun,5.42,5.53
2019May,5.61,
2019Apr,5.56,
2019Mar,5.41,5.34
2019Feb,5.28,
2019Jan,5.32,
2018Dec,4.92,4.97
2018Nov,4.94,
2018Oct,5.06,
2018Sep,5.30,5.20
2018Aug,5.44,
2018Jul,4.85,
2018Jun,4.51,4.78
2018May,4.86,
2018Apr,4.96,
2018Mar,4.72,4.83
2018Feb,4.73,
2018Jan,5.05,
2017Dec,4.47,4.71
2017Nov,4.73,
2017Oct,4.94,
2017Sep,5.07,5.11
2017Aug,5.32,
2017Jul,4.95,
2017Jun,4.68,4.87
2017May,5.09,
2017Apr,4.83,
2017Mar,4.99,5.04
2017Feb,5.09,
2017Jan,5.05,
2016Dec,4.72,4.93
2016Nov,4.91,
2016Oct,5.16,
2016Sep,5.16,5.24
2016Aug,5.43,
2016Jul,5.14,
2016Jun,4.96,5.12
2016May,5.21,
2016Apr,5.19,
2016Mar,5.14,5.15
2016Feb,5.01,
2016Jan,5.31,
2015Dec,4.84,5.10
2015Nov,5.23,
2015Oct,5.23,
2015Sep,5.22,5.21
2015Aug,5.30,
2015Jul,5.11,
2015Jun,4.89,4.94
2015May,5.04,
2015Apr,4.90,
2015Mar,5.17,5.20
2015Feb,5.18,
2015Jan,5.24,
2014Dec,5.07,5.34
2014Nov,5.58,
2014Oct,5.38,
2014Sep,5.35,5.46
2014Aug,5.51,
2014Jul,5.51,
2014Jun,5.42,5.52
2014May,5.61,
2014Apr,5.52,
2014Mar,5.75,5.71
2014Feb,5.78,
2014Jan,5.60,
2013Dec,5.54,5.63
2013Nov,5.73,
2013Oct,5.61,
2013Sep,5.73,5.62
2013Aug,5.59,
2013Jul,5.55,
2013Jun,5.46,5.45
2013May,5.56,
2013Apr,5.33,
2013Mar,5.46,5.47
2013Feb,5.57,
2013Jan,5.38,
2012Dec,5.22,5.27
2012Nov,5.35,
2012Oct,5.24,
2012Sep,5.44,5.49
2012Aug,5.57,
2012Jul,5.45,
2012Jun,5.30,5.27
2012May,5.36,
2012Apr,5.15,
2012Mar,5.27,5.41
2012Feb,5.50,
2012Jan,5.45,
2011Dec,5.20,5.33
2011Nov,5.38,
2011Oct,5.41,
2011Sep,5.60,5.30
2011Aug,5.27,
2011Jul,5.03,
2011Jun,5.12,5.09
2011May,5.21,
2011Apr,4.93,
2011Mar,5.18,5.16
2011Feb,5.29,
2011Jan,5.00,
2010Dec,5.08,5.23
2010Nov,5.18,
2010Oct,5.44,
2010Sep,5.53,5.47
2010Aug,5.41,
2010Jul,5.48,
2010Jun,5.25,6.19
2010May,6.62,
2010Apr,6.70,
2010Mar,6.27,6.53
2010Feb,6.62,
2010Jan,6.69,
2009Dec,6.35,6.83
2009Nov,6.89,
2009Oct,7.25,
2009Sep,7.60,7.67
2009Aug,7.84,
2009Jul,7.56,
2009Jun,7.15,7.40
2009May,7.73,
2009Apr,7.32,
2009Mar,7.37,7.83
2009Feb,7.94,
2009Jan,8.18,
2008Dec,8.08,8.55
2008Nov,8.80,
2008Oct,8.76,
2008Sep,8.71,8.75
2008Aug,8.78,
2008Jul,8.77,
2008Jun,8.57,8.51
2008May,8.66,
2008Apr,8.29,
2008Mar,8.38,8.32
2008Feb,8.50,
2008Jan,8.08,
2007Dec,8.01,8.13
2007Nov,8.34,
2007Oct,8.05,
2007Sep,8.45,8.29
2007Aug,8.40,
2007Jul,8.03,
2007Jun,8.04,7.95
2007May,8.06,
2007Apr,7.74,
2007Mar,7.48,7.58
2007Feb,7.65,
2007Jan,7.61,
2006Dec,7.51,7.54
